,Date,Location,Operator,Route,Type,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passengers_Fatalities,Crew_Fatalities,Ground,Summary,Year
295,1932-02-11,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,5,3,2,5,3,2,0,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing..",1932
298,1932-12-14,"Rocky Ridge, Colorado",Boeing Air Transport,Unknown,Boeing 40,1,0,1,1,0,1,0,Struck a mountain when the pilot reduced altitude to maintain contact with the ground.,1932
302,1933-01-20,"Marietta, Georgia",American Airways,Unknown,Stearman 4,1,0,1,1,0,1,0,Crashed into a mountainside.,1933
310,1933-04-23,"Near Castrovillari, Calabria, Italy",Air Orient,Corfu - Naples,Cams 53-1,8,5,3,5,2,3,0,Crashed into a mountain after encountering a mountain wave..,1933
316,1933-08-29,"Quay, New Mexico",Trans Continental and Western Air,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,5,3,2,5,3,2,0,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.,1933
322,1933-11-20,"Near Tsinan, China",China National Aviation Corporation,Canton - Shanghai,Stinson,8,7,1,8,7,1,0,Crashed into the Chingshan mountain range in fog.,1933
338,1934-09-06,"Mongaup Mountain, New York",American Airways,New York - Chicago,Curtiss Condor T-32,7,4,3,7,4,3,0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain.",1934
354,1934-10-12,"Palma Soriano, Cuba",Cubana de Aviacion,Havana - Santiago de Cuba,Ford 4-AT-E Tri-motor,8,5,3,4,2,2,0,Crashed into a mountain in poor weater condtions and low visiblity while en route.,1934
356,1934-12-22,"Sunbright, Tennessee",American Airlines,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,1,0,1,1,0,1,0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments.",1934
377,1935-07-20,"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,Milan - Frankfort - Amsterdam,Douglas DC-2,13,9,4,13,9,4,0,"Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds. The crew flew through the wrong valley which ended in a dead end. Icing condtions,.",1935
383,1935-08-15,"Near Glendo, Wyoming",Aero Mayflower Transit Co,Helena - Denver,"Waco, model YLC",3,2,1,3,2,1,0,"The plane flew into a mountain 43 miles West of Glendo in heavy fog.  Against advice to the contrary, the pilot decided to fly a direct route to Denver rather than go around, following the valleys and airways used by other pilots. The direct route took him across some of the most dangerous flying country in the west.",1935
385,1935-09-13,"Near Tambo, Panama",Panama Airways,Panama City - David,Ford Tri-Motor,8,7,1,8,7,1,0,Crashed and burned in mountainous terrain in  adverse weather conditions.,1935
401,1936-01-17,"Near Cordillera, Boliva",Lloyd Aereo Boliviano,Cochabamba - La Paz,Junkers JU-52,13,10,3,13,10,3,0,"Crashed into a mountain near the village of Tapacari, 23 miles from Chochabanba.",1936
406,1936-05-03,"Near Tengya, China",China National Aviation Corporation,Unknown,Ford 5-AT-D Tri-Motor,6,3,3,0,0,0,0,Crash landed in mountains during a snowstorm.,1936
408,1936-03-26,"Amemeca, Mexico",Mexicana,Mexico - Guatemala,Ford 5-AT-B Tri Motor,14,10,4,14,10,4,0,"While making a turn at low speed, the aircraft stalled and crashed into mountains and caught fire.  The plane was carrying mainly German tourists. Possibly caught in a down draft when flying too low to the ground.",1936
410,1936-07-04,"Uniontown, Pennsylvania",Trans Continental and Western Air,Newark - Los Angeles,Douglas DC-2-112,14,11,3,12,10,2,0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",1936
413,1936-04-17,"Orvin, Switzerland",Deutsche Lufthansa,Test flight,Junkers JU-52,5,0,5,3,0,3,0,Deviated from the prescribed course and hit a mountain in poor weather conditions. Navigation error by the crew.,1936
423,1936-02-08,"Mazamet, France",Air France,Paris - Toulouse - Dakar - Natal - Rio de Janeiro,Wibault 280,3,0,3,3,0,3,0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,1936
447,1936-12-27,"Newhall, California",United Air Lines,Oakland - San Francisco - Los Angeles,Boeing 247D,12,10,2,12,10,2,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",1936
454,1937-03-24,"Near Ouroux, France",Imperial Airways,"Southhampton, England - Alexandria, Egypt",Short  S-23 (flying boat),6,1,5,5,1,4,0,Crashed into trees on a mountainside in a snowstorm.,1937
472,1937-10-17,"Haydens Peak, Wyoming",United Air Lines,Newark - Chicago - Cheyenne - Salt Lake City - Los Angeles,Douglas DC-3,19,16,3,19,16,3,0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",1937
483,1937-12-24,"Kasperske Hory, Czechoslovakia",Air France,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,3,1,2,3,1,2,0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error. The aircraft named 'Le Glorieux",1937
489,1938-05-02,"Kandalaksha, Russia",TsAGI,Moscow - Murmansk,V6 (airship),19,0,19,13,0,13,0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.,1938
494,1938-01-03,"Near Wawona, Cailifornia",Trans Continental and Western Air,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,9,6,3,9,6,3,0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,1938
497,1938-03-23,"Corsavy, France",Air France,Dakar - Casablanca - Oran - Toulouse - Paris,Dewoitine D-338,8,5,3,8,5,3,0,The mail plane crashed into Cinq Croix peak in  the Pyrenees mountains while en route.,1938
501,1938-05-16,"Near Saugus, California",Northwest Orient Airlines,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,9,7,2,9,7,2,0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames. The crew did not follow the prescribed procedures and was cruising at an unsafe altitude to overfly the mountainous region.",1938
510,1938-07-19,Andes,Panagra,Unknown,Douglas DC-2,4,0,4,4,0,4,0,Disappeared over the Andes mountains. Wreckage found Feb 1941at Mt. Mercedario.,1938
516,1938-12-08,"Near San Andres Tuxtla, VeraCruz, Mexico",Mexicana,Villahermosa - Veracruz - Mexico City,Lockheed 10E Electra,11,8,3,11,8,3,0,Crashed into a mountain in heavy rain in an area being affected by a hurricane.,1938
517,1938-08-13,"Kiel, Germany",CSA Czech Airlines,Prague - Strasbourg - Paris,Savoia-Marchetti SM73,17,14,3,16,13,3,0,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived but died a day later..,1938
518,1938-08-15,"Guanabara, Brazil",Syndicato Condor,Guanabara - Victoria,Junkers JU-52/3m,9,5,4,9,5,4,0,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay.",1938
526,1938-01-10,"Grisons, Switzerland",Deutsche Lufthansa,"Frankfurt, Germany - Milan, Italy",Junkers JU-52/3m,13,10,3,13,10,3,0,"While flying over the Alps, the aircraft disappeared. A search was unsuccessful and  no trace of the aircraft nor the occupant was found. A mountain guide found debris 14 years later, on the slope of the Pizzo Cengalo on the border with Switzerland. Some mail bags were recovered and sent to the local post office.",1938
546,1939-02-24,"Near Roubien, France",Deutsche Lufthansa,"Barcelona, Spain - Rome, Italy",Junkers JU-52/3m,10,6,4,10,6,4,0,"While cruising in bad weather conditions, aircraft hit a mountain near Roubion, in the National Park of Mercantour, 50 km north of Nice. Engine trouble may have factored in the accident, which occurred in adverse weather conditions, with fog and falling snow in the area.",1939
551,1939-03-04,"Near Marrakech, Morocco",Air France,Unknown,Caudron C.635 Simoun,9,0,0,9,0,0,0,Crashed into a mountain.,1939
553,1939-02-05,"Near Marrakech, Morocco",Air France,"Casablanca, Morocco - Dakar, Senegal",Dewoitine D-338,9,6,3,9,6,3,0,Crashed and burned in a mountainous area due to icing.,1939
559,1939-04-08,"Barcelona, Spain",Deutsche Lufthansa,Cologne - Toulouse - Barcelona - Casablanca,Junkers JU-52/3m,7,4,3,7,4,3,0,Crashed in the Llaveria mountains in heavy fog and caught fire. The plane hit the highest peak of the mountains.,1939
569,1939-12-24,"Mogador, Morocco",Linee Aeree Italiane,Rome - Rio de Janerio,Savoia-Marchetti SM83,7,3,4,7,3,4,0,Crashed into a mountain  60 km southeast of Mogadorin in  a storm while attempting to make a forced landing.,1939
572,1940-02-27,"Near Bucaramanga, Columbia",SCADTA,Bogota - Cucuta,Boeing 247D,11,9,2,11,9,2,0,"The plane hit a mountain in the Andes  near Tona, northeast of Bucaramanga after the crew lost their bearings in fog.",1940
575,1940-04-22,"Near Loch Lomond, Scotland",British Overseas Airways,Stockholm - Perth - Heston,Lockheed 14 Super Electra,5,2,3,5,2,3,0,Struck a mountain after being off course 10 miles to the west in reduced visibility.,1940
582,1940-08-22,"Gospic,,Coatia",Aeroput,Zagreb - Split,Lockheed 10 Electra,11,9,2,11,9,2,0,Hit a mountain slope while en route.,1940
584,1940-08-31,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,Washington D.C. - Detroit,Douglas DC-3,25,21,4,25,21,4,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.",1940
589,1940-04-11,"Near Centerville, Utah",United Air Lines,Oakland - Salt Lake City,Douglas DC-3,10,8,2,10,8,2,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.",1940
598,1941-01-20,"Near Kian, China",China National Aviation Corporation,Unknown,Ford 5-AT Tri-Motor,6,1,5,5,1,4,0,Crashed into a mountain during a thunderstorm and reduced visibility.,1941
603,1941-03-28,"Elands Bay, South Africa",South African Airways,Luanda - Windhoek - Cape Town,Lockheed 18 Lodestar,10,6,4,10,6,4,0,Crashed into a mountain near Elands Bay in inclement weather.,1941
610,1941-08-18,"Near Sao Paulo, Brazil",Panair do Brasil,Curitiba - Sao Paulo,Lockheed 18 LodeStar,14,10,4,8,5,3,0,After a goaround the plane diverted from its prescribed course and crashed into a mountain.,1941
622,1942-01-16,"Near Las Vegas, Nevada",Trans Continental and Western Air,Las Vegas - Los Angeles,Douglas DC-3,22,19,3,22,19,3,0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency.",1942
646,1942-09-28,"Near Sao Paulo, Brazil",Panair do Brasil SA,Rio de Janeiro - Sao Paulo,Lockheed 18 Loadstar,15,11,4,15,11,4,0,"Struck a mountain, 5 miles from its destination in adverse weather.",1942
662,1943-01-21,"Ukiah, California",Pan American World Airways,Honolulu - San Francisco,Martin M-130 (flying boat),19,10,9,19,10,9,0,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.",1943
663,1943-01-22,"Near Chaparra, Peru",Pan American Grace Airlines,S Santiago de Chile - Arequipa - Lima,Douglas DC-3A,15,11,4,14,10,4,0,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.",1943
667,1943-11-03,"Luishui, China",China National Aviation Corporation,Kunming - Assam,Douglas C-53,3,0,3,3,0,3,0,The cargo plane was caught in a downdraft in a mountain pass en route and crashed.,1943
679,1943-07-28,"Brandon Head, Ireland",British Overseas Airways,Lagos - Lisbon - Foynes,Short S-25 Sunderland 3 (flying boat),25,18,7,10,9,1,0,The wing struck the side of a mountain as the crew descended from overcast conditions. Pilot error. The captain descended without obtaining bearings from the ground to determine his position accurately.,1943
697,1943-11-19,"Kunming, China",China National Aviation Corporation,Unknown,Douglas C-47,3,0,3,3,0,3,0,A navigational error caused the cargo plane to strike a mountain.,1943
700,1943-12-18,"Suifu, China",China National Aviation Corporation,Unknown,Douglas C-47,3,0,3,3,0,3,0,The cargo plane struck a mountain while attempting a go-around.,1943
706,1944-02-20,China,China National Aviation Corporation,Unknown,Douglas C-47,2,0,2,2,0,2,0,The cargo plane flew into a mountain,1944
713,1944-05-26,"Between Calcutta to Dinjan, China",China National Aviation Corporation,Calcutta - Dinjan,Douglas C-47,12,9,3,12,9,3,0,"While enroute the crew got lost and crashed into 22,000 foot mountain in Tibet. Bad weather prevented the pilot from getting a bearing on any radio station.",1944
719,1944-06-18,"Kweilin, China",China National Aviation Corporation,"Kunming - Chungking,",Douglas C-47,4,1,3,2,1,1,0,"Diverted to Kweilin after Chunking was below minimums. After holding over Kweilin for 3 hours, the aircraft ran out of gas, hit mountain and was demolished.",1944
750,1944-11-29,"Nairobi, Kenya",BOAC,Cairo - Juba - Nairobi - Salisbury,Lockheed 18 LodeStar,11,7,4,11,7,4,0,"Crashed in the Aberdare Mountains, 50 miles from it's destination after entering a thunderstorm. The wreckage was not located for a month.",1944
753,1944-11-30,"Dinjan, China",China National Aviation Corporation,Unknown,Douglas C-47,3,0,3,3,0,3,0,The cargo plane flew into Digboi Mountain after losing both engines.,1944
760,1945-10-01,"Burbank, California",American Airlines,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,24,21,3,24,21,3,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass.",1945
761,1945-01-14,China,China National Aviation Corporation,Unknown,Douglas C-47,6,0,6,4,0,4,0,The cargo plane struck a mountain.,1945
770,1945-02-23,"Marion, Virginia",American Airlines,New York City - Los Angeles,Douglas DC-3,22,19,3,17,15,2,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight.",1945
773,1945-09-04,"Kunming, China",China National Aviation Corporation,Kunming - Sichang,Douglas C-47,3,0,3,3,0,3,0,The cargo plane struck a mountain in the Himalayas under poor weather conditions.,1945
774,1945-04-14,"Morgantown, West Virginia",Pennsylvania Central Airlines,Pittsburgh - Morgantown,Douglas DC-3,20,17,3,20,17,3,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude.",1945
786,1945-06-15,China,China National Aviation Corporation,Unknown,Douglas C-47,3,0,3,3,0,3,0,"The aircraft crashed into a mountain in the Carstenz Range at an altitude of 14,200 ft. The wreckage was discovered in December 1970.",1945
795,1945-01-08,"Near San Luis Potosi, Mexico",Lineas Aereas Mineras,Mexico City - Nogales,Boeing 247D,12,9,3,12,9,3,0,Crashed into mountainous terrain after encountering engine failure..,1945
797,1945-11-08,"Ixtaccihuati, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-2-243,16,12,4,16,12,4,0,Crashed in Ixtaccihuatl mountain 40 miles east-sout-east of Mexico City. Navigational error as the crew's last message stated they were in an entirely different area.,1945
808,1945-10-20,"Between Shanghi and Canton, China",China National Aviation Corporation,Shanghai - Canton,Douglas C-47,31,28,3,31,28,3,0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions.",1945
840,1946-01-31,"Mt. Elk, Wyoming",United Air Lines,Boise - Denver,Douglas DC-3-194H,21,18,3,21,18,3,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL.",1946
843,1946-03-03,"Live Oak Springs, California",American Airlines,Dallas - Tucon - San Diego,Douglas DC-3-227B,27,24,3,27,24,3,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined.",1946
870,1946-07-08,"Oslo, Norway",British European Airways,Northolt - Oslo,Douglas C-47A-10-DK,16,11,5,3,0,3,0,"Flew into trees on Mistberget mountain at 2,000ft. while on approach to Oslo. Pilot error. Descended too early.  Inexperience in radio range flying and inadequate equipment.",1946
881,1946-07-09,"Nome, Alaska",Mt. McKinley Airfreight,Unknown,Douglas C-47A,4,2,2,4,2,2,0,The cargo plane went off course and struck a fog covered mountain as it circled to land.,1946
886,1946-09-20,"Lochi Mountain, China",China National Aviation Corporation,"Sichang - Kunming, Yunnan",Curtiss Wright C-46,28,25,3,28,25,3,0,"Crashed into a 15,000 ft. mountain shortly after taking off from Sichang.",1946
889,1946-09-27,"Rio Doce, Brazil",Panair do Brasil,Belo Horizonte  - Rio de Janerio,Douglas DC-3A-228D,25,22,3,25,22,3,0,Crashed into a mountainside north of Rio de Janerio after being possibly struck by lightning.,1946
890,1946-03-10,"Stephenville, Newfoundland",American Overseas Airlines,Gander - Shannon,Douglas C-54E-5-DO,39,31,8,39,31,8,0,"Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named ""Flagship New England.""  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained.",1946
894,1946-10-10,"Near Sefrou, Morocco",Air Ocean,Paris - Casablanca,Junkers Ju-52/3m,16,11,5,16,11,5,0,Crashed into a mountain while en route. Navigation error.,1946
898,1946-01-11,"St Leger-la-Montagne, France",CTA Languedoc Roussillon,Paris - Toulouse - Casablanca,AAC-1 Toucan,27,24,3,23,20,3,0,Crashed into mountains while en route. The pilot descended to lower altitiude to rid the plane of ice.,1946
901,1946-11-13,"Lebec, California",Western Airlines,Palmdale - Burbank,Douglas C-53D-DO (DC-3),11,8,3,11,8,3,0,"The aircraft crashed into White Mountain at an elevation of  6,000 feet, in rain and 70 mph winds after being blown off course while on a heading from Palmdale to Newhall. Possible downdraft. The action of the pilot in making an instrument letdown without previously establishing a positive radio fix. This action was aggravated by conditions of severe static, wind in excess of anticipated velocities, preoccupation with an unusual amount of radio conversation, and the inoperative Newhall radio range.",1946
902,1946-11-13,"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas de Veracruz,Mexico City - Veracruz,Douglas DC-3,15,12,3,15,12,3,0,"Crashed into an 11,000 ft. mountain obscured by clouds.",1946
905,1946-11-26,"San Jose, Costa Rica",Lineas Aéreas Costarricenses  LACSA,Unknown,Douglas DC-3 (C-47A-90-DL),22,20,2,22,20,2,0,Struck Cedrel mountain while making an approach to San Jose.,1946
912,1946-12-23,"Near Rio de Janeiro, Brazil",FAMA (Argentina),London - Buenos Aires.,Avro  685 York I,21,15,6,21,15,6,0,"Poor weather at the destination airport forced the crew to divert to Rio de Janeiro. While approaching to land the aircraft flew into a mountain, 14 miles from the airport.",1946
913,1946-12-24,"Near San Diego, California",Western Airlines,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),12,9,3,12,9,3,0,"Crashed east slope of Cuyapaipe Mountain at 6,120 ft. in San Diego County in poor weather conditions. The conduct of the flight at an altitude which would not clear obstructions, due to an error by the pilot in determining his position with respect to Laguna Mountain.",1946
921,1947-05-01,"Tsingtao, China",China National Aviation Corporation,Shanghai - Tsingtao - Beijing,Curtis C-46,43,38,5,43,38,5,0,Crashed into  a mountain while on approach in low overcast.,1947
929,1947-01-25,"Chongqing, China",China National Aviation Corporation,Canton - Chungking - Hong Kong,Douglas DC-3,19,16,3,19,16,3,0,Crashed into mountains 120 miles south of Chunking.,1947
933,1947-01-02,"Near Lisbon, Portugal",Air France,Paris - Bordeaux - Lisbon,Douglas DC-3C,20,15,5,19,14,5,0,Crashed into Cintra mountain while on approach in poor weather condtions.,1947
935,1947-06-02,"Pedro Bernardo, Spain",Aerovias Cuba International,Havana - Lisbon - Madrid,Douglas C-54B-15-DO,11,8,3,11,8,2,0,"Crashed in Gredos mountain range about 100 miles west of Madrid while en route and in adverse weather conditions.  The plane was named ""Ruta de Colon.""",1947
941,1947-05-03,"Near Georgia, USSR",Aeroflot,Tbilisi - Moscow - Vnoukovo,Doublas C-47,23,19,4,23,19,4,0,"Crashed in the Cacasus mountains,Nizhnesvanetsky Range, while en route. Pilot error. Pilot in command changed the route of flight",1947
943,1947-08-03,"Cordillera, Colombia",VIARCO,Villavicencio - Bogota,Douglas C-47-DL,9,5,4,9,5,4,0,Crashed in the Cordillera mountain range shortly after taking off and climbing.,1947
963,1947-01-07,"Near Eaeka, French Cameroons",Air France,Bangu i- Yaoundé - Douala,Junkers JU-52/3m,13,10,3,13,10,3,0,Crashed into the slope of a mountain while en route in reduced visibility.,1947
969,1947-02-08,"Andes, Argentina",British South American Airways,Buenos Aires - Santiago,Avro 691 Lancastrian 3,11,6,5,11,6,5,0,"Crash in the Andes mountains in poor weather while flying from Mendoza, Argentina to Santiago, Chile. The plane was found on the south slope of Tupungato peak at the 18,000 ft. level on January 19, 2000, 53 years later. Possibly icing or possibly the aircraft, being capable of flying over 20,000 feet, encountered strong head winds and began a descent thinking they were over their destination when they were not. The plane was named ""Star Dust."" The radio operator transmitted an enigmatic coded message (""STENDEC"") before the plane disappeared.",1947
974,1947-08-21,"Hanksville, Utah",Slick Airways,Unknown,Curtiss C-46E,3,1,2,3,1,2,0,The cargo plane entered a thunderstorm and struck Blue Bell Knoll Mountain. The continuation of the flight into instrument weather conditions over mountainous terrain at an altitude too low to clear the mountains en route.,1947
